label,weight,distance1,distance2,distance3,distance4,capacitive_reading,inductive_reading

Paper,0,220,220,160,154,True,False
Paper,1131,220,220,64,220,True,False
Paper,0,101,81,220,220,True,False
Paper,0,208,53,220,220,True,False
Paper,0,-1,-1,-1,-1,True,False
Paper,0,-1,-1,-1,-1,,True,False
Paper,0,132,43,49,163,True,False
Paper,0,195,34,220,93,True,False
Paper,0,220,220,220,96,True,False
Paper,0,175,54,199,161,True,False
Paper,0,147,116,220,110,True,False
Paper,21,70,59,69,121,True,False
Paper,10,122,58,67,146,True,False
Paper,10,220,220,95,211,True,False
Paper,15,179,41,103,103,True,False
Paper,74,220,28,220,83,True,False
Paper,19,125,70,104,120,True,False
Paper,111,120,21,128,99,True,False
Paper,55,138,41,102,76,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,0,220,220,220,207,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,54,88,45,48,87,True,False
Cardboard,73,55,56,48,85,False,False
Cardboard,74,133,127,114,104,False,False
Cardboard,7,146,97,45,191,False,False
Cardboard,10,220,28,46,207,False,False
Cardboard,49,220,220,83,124,False,False
Cardboard,46,220,220,82,124,False,False
Plastic,10,135,142,191,182,True,False
Plastic,22,160,46,124,207,True,False
Plastic,25,164,117,181,197,True,False
Plastic,5,169,162,220,207,True,False
Plastic,9,155,133,191,201,True,False
Plastic,9,154,131,195,199,True,False
Plastic,10,220,220,220,220,True,False
Plastic,0,118,220,153,187,True,False
Plastic,0,220,220,119,220,True,False
Plastic,3,220,220,220,220,True,False
Plastic,488,104,126,220,220,True,False
Plastic,0,220,220,220,220,True,False
Plastic,0,220,220,220,220,True,False
Plastic,22,220,146,220,194,True,False
Paper,145,44,32,51,55,True,False
Paper,93,58,24,220,220,True,False
Paper,65,69,26,220,220,True,False
Paper,65,70,25,220,220,True,False
Paper,28,220,220,202,115,True,False
Paper,1,129,65,91,142,True,False
Paper,1,132,67,93,142,True,False
Paper,18,131,89,73,122,True,False
Paper,20,138,52,83,121,True,False
Paper,19,137,52,81,122,True,False
Paper,6,142,67,88,101,True,False
Paper,29,104,62,85,136,True,False
Plastic,129,220,-1,220,142,True,False
Plastic,129,220,-1,220,141,True,False
Plastic,128,220,-1,220,129,True,False
Plastic,20,220,-1,220,163,True,False
Plastic,20,220,-1,220,201,True,False
Paper,21,220,-1,220,152,True,False
Paper,325,129,70,122,169,True,False
Plastic,441,220,220,220,220,True,False
Plastic,654,220,220,109,220,True,False
Plastic,572,197,122,220,220,True,False
Plastic,598,212,66,220,220,True,False
Plastic,30,90,60,120,144,True,False
Plastic,42,88,84,73,85,True,False
Plastic,40,220,220,65,138,True,False
Plastic,0,220,220,113,220,True,False
Plastic,0,220,220,10,201,True,False
Plastic,0,220,220,102,220,True,False
Plastic,0,220,220,96,212,True,False
Paper,0,101,74,111,172,True,False
Paper,0,82,46,75,192,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,0,220,220,220,158,True,False
Cardboard,0,168,220,220,220,True,False
Plastic,0,220,220,78,220,True,False
Plastic,0,220,220,75,220,True,False
Plastic,0,220,220,74,220,True,False
Plastic,0,220,220,76,158,True,False
Plastic,0,220,220,69,159,True,False
Plastic,0,55,102,52,94,True,False
Plastic,0,220,220,145,210,True,False
Plastic,0,220,220,73,169,True,False
Plastic,0,220,220,92,184,True,False
Plastic,0,220,220,78,220,True,False
Plastic,0,73,206,153,177,True,False
Plastic,0,74,192,202,151,True,False
Plastic,0,71,84,71,115,True,False
Paper,0,135,77,90,88,True,False
Plastic,0,220,220,89,220,True,False
Plastic,0,220,220,86,219,True,False
Plastic,0,96,114,220,118,True,False
Plastic,0,220,220,158,148,True,False
Plastic,0,220,220,73,217,True,False
Plastic,0,220,143,115,220,True,False
Plastic,0,41,17,57,125,True,False
Plastic,0,70,74,85,73,True,False
Plastic,0,92,59,89,47,True,False
Plastic,0,92,61,88,47,True,False
Plastic,0,220,220,123,199,True,False
Plastic,0,220,220,211,163,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,0,220,220,220,220,True,False
Cardboard,0,220,220,220,220,True,False
Plastic,0,220,220,220,220,True,False
Plastic,0,220,220,220,220,True,False
Plastic,0,220,198,220,220,True,False
